10,1573441141-9775,大樹生命 令和元年度版,無配当外貨建個人年金保険(積立利率更改型),ドリームフライト 令和元年度版,「ドリームフライト」は、保険料額や年金額、死亡給付金額などを指定通貨で定めるしくみの外貨建個人年金保険です。指定通貨は、契約時にアメリカ合衆国通貨、オーストラリア連邦通貨のいずれかから選べます。・円建払込金額を定める場合の特則を付加した円換算払込特約が付加されますので、保険料を払い込む際に定額の円建の金額(円建払込金額)を払い込み、所定の円換算レート(払込用)で指定通貨に換算した金額を主契約の保険料額とします。なお、この特約を解約することはできません。・年金の種類は、保証期間付終身年金(保証期間:10年)、確定年金(年金支払期間:5・10・15年)から選べます。・年金開始日前の積立利率は10年ごとに更改されます。ただし、更改後の積立利率は、最低保証積立利率を下回ることはありません。・年金、死亡給付金などの請求の際に円換算支払特約を付加すると、年金、死亡給付金などが所定の円換算レート(支払用)で円に換算して支払われます。また、年金開始の際、円建年金移行特約を付加すると、年金原資を所定の円換算レート（支払用）で円に換算し、円建の年金が支払われます。・年金開始の際または年金開始日以後に自動すえ置き機能付円換算支払特約を付加することで、判定円換算・レート※に対する会社所定の円換算レート（支払用）の水準によって、指定通貨建の年金を円に換算して支払うか、指定通貨のまますえ置くかを自動的に判定することができます。・※・指定通貨建の年金を円に換算して支払う取扱または指定通貨建の年金をすえ置く取扱のいずれの取扱とするかを自動的に判定する際の基準となる換算レートをいいます。・個人年金保険料税制適格特約を付加した場合、個人年金保険料の所得控除の適用を受けることができます。,保険金・給付金名・支払事由・支払割合・死亡給付金・年金支払開始日前に死亡したとき・積立金額の1.05倍・年金 ・年金支払開始日に生存しているとき・年金額(契約時には定まりません）,指定代理請求特約/円換算払込特約/円換算支払特約/円建年金移行特約/自動すえ置き機能付円換算支払特約/個人年金保険料税制適格特約
11,1573441857-10092,朝日生命 令和元年度版,5年ごと利差配当付介護一時金保険（返戻金なし型）（2012）,介護一時金保険（返戻金なし型）（２０１２） 令和元年度版,「介護一時金保険（返戻金なし型）（2012）」は、「保険王プラス」「やさしさプラス」に組み合わせる保険で、公的介護保険制度で要介護1以上に認定されたときに、保険料の払込みが免除となり、要介護3以上に認定されたときに一時金が支払われます。・終身タイプと定期タイプがあります。・「あんしん介護」という愛称が付与されています。,"5年ごと利差配当付介護一時金保険（返戻金なし型）（2012） 終身タイプ・40歳契約／男性／終身払・●・介護一時金額・300万円・○・保険料（月払口座）  ・1,845円",指定代理請求特約（2016）
12,1573440921-9677,三井住友海上プライマリー生命 令和元年度版,目標設定特則付一般勘定移行型変額終身保険,かがやき、つづく２ 令和元年度版,「かがやき、つづく2」はマーケットに応じた運用成果を追求する円建ての変額終身保険です。・ 運用資産は株式および債券の2資産で構成し、株式については5つのマーケットに分散投資します。・ 安定的な運用を維持するため、リスクコントロール機能により、運用効率を日次で調整します。・ また、目標値を設定することで、契約日から１年経過以後に目標達成した場合は、運用成果を自動的に確保できますので、日々の値動きを気にせず運用し続けることができます。・ 一生涯の死亡保障は、運用成果にかかわらず一時払保険料が最低保証されます。また、特別勘定での運用期間終了後においては死亡保障がさらに充実し、以後減ることはありません。・ 告知なしで加入できますので、健康状態に不安のある場合や年齢的に終身保険は難しいと考えている場合も申込みできます。,保険金・給付金名・支払事由・支払割合・死亡保険金・保険期間中に被保険者が死亡したとき・移行日前：・被保険者が死亡した日における積立金額と基本保険金額のいずれか大きい額。振替日以後は、被保険者が死亡した日における積立金額・移行日以後：・移行日前日における積立金額と基本保険金額のいずれか大きい額（目標達成した場合は、移行日における積立金額）に基づき、移行日における被保険者の年齢および性別に応じてその時点の基礎率等（予定利率、予定死亡率等）により計算した額・災害死亡保険金・振替日以後、移行日前までに被保険者が次のいずれかの理由で死亡したとき・①被保険者が振替日以後に発生した所定の不慮の事故を直接の原因として、その日から180日以内に死亡したとき・②被保険者が振替日以後に発病した所定の特定感染症を直接の原因として死亡したとき・死亡時点の積立金額の10％,遺族年金支払特約/年金移行特約/指定代理請求特約
13,1573441880-10102,朝日生命 令和元年度版,5年ごと利差配当付特定生活障害年金保険（10年確定年金）,特定生活障害年金保険（１０年確定年金） 令和元年度版,「特定生活障害年金保険（10年確定年金）」は、「ハハの幸せ コの幸せ」に組み合わせる保険で、死亡・高度障害状態に加えて、育児や家事に支障をきたす所定の状態（特定生活障害状態）も保障します。・年金支払期間は、10年間となります。・最長80歳まで自動更新することができます。,"5年ごと利差配当付特定生活障害年金保険（10年確定年金）・30歳契約／女性／保険期間・保険料払込期間：20年・●・5年ごと利差配当付特定生活障害年金保険（10年確定年金）  ・120万円・○・保険料（月払口座）・3,420円",リビング・ニーズ特約/指定代理請求特約（2016）
14,1573441018-9721,ＪＡ共済 令和元年度版,こども共済,こども共済 令和元年度版,「こども共済」は、教育資金を計画的に準備できる共済です。入学（園）の時期にあわせて「入学祝金」が支払われる「祝金型」と、中学・高校・大学進学などにあわせて「学資金」が支払われる「学資金型」からニーズにあわせて選べます。・学資金の受取りは、進学時期に合わせた中学・高校・大学プランから選べます。・満期時には「満期共済金」が支払われます。・共済掛金の払込経路が口座振替扱いの共済契約または前納期間中の共済契約の場合には、払込む共済掛金に割安な「口座振替扱掛金」が適用されます。,"こども共済「学資応援隊」（学資金型）・こども共済 学資金型：0歳加入（男性）／22歳満期／18歳払込終了・学資金支払開始／共済契約者30歳(男性)・●・こども共済 主契約・300万円・●・指定代理請求特約  ・付加・○・掛金（月払口座）・14,127円",災害給付特約/特定損傷特約/指定代理請求特約/共済金年金支払特約
15,1573441153-9780,大樹生命 令和元年度版,無配当定期保険,定期保険－Ｍ 令和元年度版,「定期保険－Ｍ」は、一定期間の死亡にそなえる保険です。・一定期間の死亡・所定の高度障害状態を保障します。満期保険金はありません。・保険期間が年満期の場合、所定の範囲内で、医師による診査や告知なしに契約を自動的に更新することができます。・特約を付加することで、所定の障害状態の保障や、ケガによる入院の保障などを準備することができます。・介護サポート年金特約を付加することで、要介護状態に対する保障を準備することができます。・法人契約の場合は解約返戻金を退職慰労金として活用するプラン、個人契約の場合は解約返戻金を老後の生活資金として活用するプラン等をお選びいただけます。（解約した場合、以後の保障はなくなります。）,"35歳契約・男性・98歳満期・●・保険金額・3,000万円・○・保険料（口振月払）・51,510円",災害割増特約2007/傷害特約2007/災害入院特約016/介護サポート年金特約017/リビング・ニーズ特約/指定代理請求特約/健康体料率特約（健康自慢）/保険料払込免除特約017（介護保障型）/年金支払特約/年金払移行特約
16,1573441051-9736,かんぽ生命 令和元年度版,特別終身保険／特別終身保険（低解約返戻金型）,新ながいきくん（おたのしみ型）／新ながいきくん（おたのしみ型）（低解約返戻金プラン） 令和元年度版,「新ながいきくん（おたのしみ型）」は、被保険者が死亡した場合に死亡保険金が支払われる終身保険で、被保険者の生存中に一定期間が満了したことにより生存保険金が支払われます（保険料の払込期間満了後に5年毎に最高4回まで）。・基本契約は、解約返戻金の水準を低くすることで保険料を抑えた「低解約返戻金プラン」と、通常の解約返戻金プランの２種類から選択することができます（保障内容は変わりません）。・生存保険金を受取り後、その分だけ死亡保険金額は下がります。・契約日からその日を含めて1年6か月経過後に不慮の事故を直接の原因として、その事故の日から180日以内に死亡したとき、または会社所定の感染症を直接の原因として死亡したときには、死亡保険金に加えて、死亡保険金額と同額の保険金が支払われます(保険金の倍額支払）。,"60歳払込済特別終身保険・30歳加入／男性／60歳払込済・●・基本契約 基準保険金額  ・1,000万円・●・無配当災害特約（無解約返戻金型） 特約基準保険金額・1,000万円・●・無配当総合医療特約（無解約返戻金型）Ｉ型 特約基準保険金額・700万円・●・無配当先進医療特約（無解約返戻金型） 特約基準保険金額・300万円・○・月払保険料（口座払込）・36,493円",無配当災害特約/無配当傷害医療特約（Ⅰ型・Ⅱ型）/無配当総合医療特約（Ⅰ型・Ⅱ型）/無配当先進医療特約（無解約返戻金型）
17,1573441711-10026,住友生命 令和元年度版,5年ごと利差配当付終身保険（一時払い）,ふるはーとJロードプラス 令和元年度版,「ふるはーとJロードプラス」は5年ごと利差配当付終身保険で、死亡保険金額が第1保険期間（契約当初5年または10年）経過後に増加し、以降一時払保険料を上回る保障が一生涯続きます。・第1保険期間は契約年齢15～49歳の場合10年間、契約年齢50～90歳の場合5年間となり、第2保険期間は第1保険期間満了日以降終身となります。・契約時に適用される予定利率は、金利情勢に応じて毎月1日に設定されます。・契約から一定期間経過後、解約返戻金が一時払保険料を上回りますので、長期的な資産形成の手段として活用することができます。・将来の終身保障にかえて、年金で受取ることもできます。・職業のみの告知により申し込みできます。,保険金・給付金名・支払事由・支払割合・災害死亡保険金・第１保険期間中に、不慮の事故または所定の感染症で死亡したとき・第２保険期間の死亡保険金額と同額・死亡給付金・第１保険期間中に死亡したとき・一時払保険料相当額・死亡保険金・第２保険期間中に死亡したとき・死亡保険金額,年金支払移行特約
18,1573441078-9748,明治安田生命 令和元年度版,無配当災害保障付積立保険,明治安田生命じぶんの積立 令和元年度版,"「明治安田生命じぶんの積立」は、手軽に始められ、満期保険金のある積立保険です。・いつでも、払込んだ保険料と同額以上の金額※を受取れます。・※満期時の満期保険金・解約時の返戻金・１口（5,000円）から積立ができ、保険料の払込みは５年間で終了します。・健康状態にかかわらず申込みでき、医師による診査や健康状態などの告知は不要です。","無配当災害保障付積立保険・5年払込・10年満期／2口・●・満期保険金額・618,000円（年齢・性別に関係なく満期保険金額は同じです）・○・保険料（月掛・口座振替扱い）  ・10,000円",
19,1573441958-10138,エヌエヌ生命 令和元年度版,無解約返戻金型災害・重度疾病定期保険,エマージェンシー プラス 令和元年度版,「エマージェンシー プラス」は、中小企業経営者が突然の災害や急性心筋梗塞、脳卒中に見舞われた場合、企業を守るために最大１億円の死亡保障を準備できる定期保険です。・3種類の保険金（災害死亡保険金・重度疾病死亡保険金・死亡保険金）で、経営者の不安要素として上位に掲げられる災害、急性心筋梗塞、脳卒中による死亡リスクへの重点保障が可能です。・災害や重度疾病（急性心筋梗塞・脳卒中）による場合の死亡保障を最大1億円とし、企業の借入金や運転資金リスクに備えることができます。S・3つの告知項目に該当しない場合に最大1億円の保険金額の申込みが可能です。,"無解約返戻金型災害・重度疾病定期保険・40歳契約／男性／保険期間・保険料払込期間：10年・●・保険金額・10,000万円・●・保険料（月払口座）・12,800円",指定代理請求特約
20,1573441834-10081,アフラック生命 令和元年度版,就労所得保障保険〔無解約払戻金〕,病気やケガで働けなくなったときの 給与サポート保険 令和元年度版,「病気やケガで働けなくなったときの 給与サポート保険」は、病気やケガによって働けなくなった場合に起こる「収入の減少」という経済的困難に備えるための商品です。「入院」または「所定の在宅療養」の状態になったときに、毎月の給料のように一定額が支払われることで、「収入の減少」に伴うさまざまな経済的困難を軽減することができます。・病気やケガを原因とした所定の就労困難状態が60日継続後、その状態が続く限り給付金が支払われます。（精神障害や妊娠・出産などを原因とする場合を除く）・「入院」または「所定の在宅療養」で働けない場合を保障します。・働けなくなったときの公的保障をふまえ、保障額をそれぞれ設定できます。・被用者保険から「傷病手当金」が支給される期間とそれ以降では収入の減少分に差があるため、「短期回復支援給付金」と「長期療養支援給付金」の保障額をそれぞれ１万円単位で設定し、無駄のない保障を準備することが可能です。,"就労所得保障保険〔無解約払戻金〕・30歳契約／男性／60歳満期／60歳払込満了・●・短期回復支援給付金月額・5万円・●・長期療養支援給付金月額・15万円・○・保険料（月払口座） ・3,235円",
21,1573441319-9852,日本生命 令和元年度版,低解約払戻金型長寿生存保険（有配当2016）,ニッセイ長寿生存保険（低解約払戻金型）”Ｇｒａｎ Ａｇｅ”（グランエイジ） 令和元年度版,「ニッセイ長寿生存保険（低解約払戻金型）”Ｇｒａｎ Ａｇｅ”（グランエイジ）」は、死亡時に保険金が支払われるという従来の死亡保障の考え方と異なり、死亡時の保険金を抑え、長生きした際に大きな金額が支払われるという「長生きのための保険」です。・一生涯受け取れる「終身年金」を選択できます（年金額は契約時に確定）。・解約払戻金を低く設定するなどにより年金額（年金原資）が大きくなっています。・契約年齢は50～87歳で無告知で加入できます。,"低解約払戻金型長寿生存保険（有配当2016）・50歳契約／男性／払込満了・年金開始：70歳・●・5年保証期間付終身年金・年金額60万円・○・保険料（月払口座）・50,790円",
22,1573441931-10126,アクサ生命 令和元年度版,限定告知型終身医療保険（無解約払戻金型）,アクサの「一生保障」の医療保険 スマート・ケア with you 令和元年度版,"「アクサの「一生保障」の医療保険 スマート・ケア with you」は、シンプルな内容と合理的な保険料水準を実現した、4つの告知項目にあてはまらなければ既往症があっても加入可能な限定告知型の終身医療保険です。契約後にかかった病気やけがはもちろん、責任開始期前に発病した疾病を原因とする入院または手術であっても、責任開始期以降に症状が再発・悪化したことにより入院や手術が必要となった場合は、給付金が支払われます。・契約日から1年以内に主契約や特約の各支払事由に該当した場合は、給付金・保険金が50％削減されます。・入院は日帰り入院から保障し、支払限度は1入院60日、通算1,095日となっています。・ニーズに応じて、特約で入院一時金保障・先進医療保障・死亡保障を追加することができます。・「アクサメディカルアシスタンスサービス」が無料で自動的に付帯されます。","契約例：限定告知型終身医療保険（無解約払戻金型）・50歳契約／男性／終身払・●・入院給付金・入院給付金日額10,000円・●・限定告知型終身保険特約・基本保険金額200万円・●・限定告知型先進医療給付特約・付加・●・限定告知型手術補完給付特約・手術補完給付金日額10,000円・●・限定告知型入院治療一時金特約・入院治療一時金額50,000円・○・保険料（月払口座）・19,071円",限定告知型先進医療給付特約/限定告知型手術補完給付特約/限定告知型入院治療一時金特約/限定告知型終身保険特約/限定告知型３大疾病保険料払込免除特約/指定代理請求特約
23,1573441723-10032,住友生命 令和元年度版,最低保証利率付3年ごと利率変動型積立保険／生活障害収入保障特約（固定型）,ライブワン スクエアライン1UP 令和元年度版,「ライブワン スクエアライン１UP」は、保険ファンドの役割をする利率変動型積立保険に、就労不能・要介護状態の場合に年金が支払われる「生活障害収入保障特約（固定型）」を付加した商品です。・短期と長期の就労不能・介護（就労不能・介護保障充実給付金、就労不能・介護年金）に備えることができます。・所定の就労不能状態（障害等級1級または2級相当（精神障害状態を除く））に該当したとき、または所定の要介護状態（要介護2以上に相当）が180日継続したとき、就労不能・介護年金が所定の期間支払われます。・所定の就労不能状態（障害等級1級または2級相当（精神障害状態を除く））に該当したとき、または所定の要介護状態（要介護2以上に相当）が30日継続し、その状態が継続する限り30日ごとに就労不能・介護保障充実給付金（基本年金額×20％）が最高5回（通算10回）支払われます。・精神障害で障害等級1級または2級に認定、また所定の精神障害で180日継続して入院されたとき、特定障害給付金が支払われます。・就労不能・介護年金、就労不能・介護保障充実給付金、特定障害給付金は、全額非課税です。,"最低保証利率付3年ごと利率変動型積立保険／生活障害収入保障特約（固定型）・30歳契約／男性／65歳特別保障期間満了・●・生活障害収入保障特約（15回・固定型）・年金額240万円・●・収入保障特約（18）（15回・固定型）・年金額180万円・●・LiVガード（10年）・300万円・●・保険料払込免除特約(15)［総合型］・付加・○・保険料（月払口座）・うち保険ファンド部分・17,281円・3,000円",災害割増特約/傷害特約/傷害損傷特約（04）「骨太」/総合医療特約/入院保障充実特約（09）/成人病入院特約（09）/女性疾病入院特約（09）/がん入院特約（09）/がん薬物治療特約/がん診断特約/新先進医療特約/がん長期サポート特約/特定重度生活習慣病保障特約（ＬｉＶガード）/生活障害収入保障特約/リビング・ニーズ特約/指定代理請求特約/保険料払込免除特約（15）/終身保険特約/定期保険特約（18）/収入保障特約（18）/年金支払特約/（夫婦）年金支払移行特約
24,1573441282-9836,フコクしんらい生命 令和元年度版,がん保障定期保険特約・介護保障定期保険特約付定期保険,ハローキティの定期保険 令和元年度版,「ハローキティの定期保険」は、死亡もしくは所定の高度障害状態となった場合の保障、所定の悪性新生物(がん)と診断確定された場合の保障、所定の認知症と診断確定された場合の保障または所定の要介護状態となった場合の保障を一定期間確保できる定期保険です。・初めて所定のがんと診断確定された場合、特約がん保険金が支払われます。・初めて所定の認知症と診断確定された場合は認知症診断給付金が支払われ、公的介護保険制度の要介護２以上に認定または所定の要介護状態に該当された場合は介護保険金が支払われます。・保険期間中に被保険者が死亡、所定の高度障害状態となった場合、死亡保険金または高度障害保険金が支払われます。・保険期間満了後、健康状態にかかわらず、所定の条件のもとに契約を更新することができます。,"がん保障定期保険特約・介護保障定期保険特約付定期保険・30歳契約／男性／保険期間・保険料払込期間：10年・●・主契約・ 300万円・●・がん保障定期保険特約・ 100万円・●・介護保障定期保険特約・ 300万円・○・保険料（口座振替月払）・ 1,693円",がん保障定期保険特約/介護保障定期保険特約/指定代理請求特約
25,1573441043-9732,かんぽ生命 令和元年度版,普通養老保険,新フリープラン 令和元年度版,「新フリープラン」は、被保険者の生存中に保険期間が満了したことにより満期保険金、被保険者が保険期間中に死亡したことにより死亡保険金が支払われます。満期保険金と死亡保険金は同額です。・契約日からその日を含めて1年6か月経過後に不慮の事故を直接の原因として、その事故の日から180日以内に死亡したとき、または会社所定の感染症を直接の原因として死亡したときは、死亡保険金に加え死亡保険金額と同額の保険金が支払われます（保険金の倍額支払）。・保険期間は10年から最長50年の間で、1歳きざみに設定できます。,"全期間払込50歳満期養老保険・30歳加入／男性／50歳満期・●・基本契約 基準保険金額  ・1,000万円・●・無配当災害特約 特約基準保険金額・1,000万円・●・無配当総合医療特約Ⅰ型 特約基準保険金額・700万円・●・無配当先進医療特約（低解約返戻金型） 特約基準保険金額・300万円・○・月払保険料（口座払込）・48,563円",無配当災害特約/無配当傷害医療特約（Ⅰ型・Ⅱ型）/無配当総合医療特約（Ⅰ型・Ⅱ型）/無配当先進医療特約（無解約返戻金型）
26,1573441846-10087,朝日生命 令和元年度版,５年ごと利差配当付認知症介護終身年金保険（返戻金なし型）,認知症介護終身年金保険（返戻金なし型） 令和元年度版,「認知症介護終身年金保険（返戻金なし型）」は、「保険王プラス」「やさしさプラス」に組み合わせる保険で、公的介護保険制度で要介護1以上に認定かつ所定の認知症になったとき、認知症介護年金が支払われます。・公的介護保険制度による要介護１以上に認定されたとき、保険料の払込みが免除されます。・終身タイプと定期タイプがあります。・「あんしん介護 認知症保険」という愛称が付与されています。,"５年ごと利差配当付認知症介護終身年金保険（返戻金なし型） 終身タイプ・40歳契約／男性／終身払・● 認知症介護年金額・60万円・○ 保険料(月払口座) ・3,030円",指定代理請求特約（2016）
27,1573441159-9783,大樹生命 令和元年度版,無配当養老保険,ザ・らいふ－Ｍ 令和元年度版,「ザ・らいふ－Ｍ」は、死亡・所定の高度障害状態の保障と同額の満期保険金があります。また、特約を付加することで、所定の障害状態の保障や、ケガによる入院の保障を準備することができます。,"50歳契約・男性・65歳満期・●・保険金額・1,000万円・○・保険料（口振月払）・61,630円",傷害特約2007/災害入院特約016/指定代理請求特約/年金支払特約
