食費,・4人家族ですが食費はいくらくらいが平均か,"・1か月の酒・外食除きの食費平均は2.96人で59,469円(2020.2)",■総務省　家計調査報告（2020年2月分）
,,"・残された家族が分割で生活費として受け取れる：収入保障保険",https://hokench.com/article/life/304/
節税,・保険料控除をフルに使う時の保険の組み合わせは,"",
,,"",
保険金受取,・内縁の妻や夫を受取人にできるか　,"・保険会社により異なる。できる場合も戸籍上の配偶者の有無や同居期間、",■ライフネット生命
,,"　生計を共にしているかなどの確認、保険金額上限ありなどの条件付き",https://www.faq.lifenet-seimei.co.jp/faq_detail.html?id=22015
貯蓄,・保険で貯蓄をしたいがどの商品が良いか,"・貯蓄目的が明確で使う時期に合わせて保険期間が設定されている学資保険",
,,"　や個人年金保険があるが、早い時期に解約すると解約返戻金が元本割れ",
,,"　することや、現在は利率が低水準で大きく増やすことが難しい、保障が",
,,"　付いている分コストがかかっているなどのデメリットもある。",
学資保険,・学資保険、こども保険はいつ入ったらいいの,"・子どもが0～7歳前後が多いが、産前に入れるものも増えている",
,,"・産前に加入するメリットは出産前に契約者に万が一のことが起こった場合",
,,"　でも以後保険料を支払わなくても子どもの学資金を準備できる点",
,,"・万が一流産や死産となった場合は契約が無効となり保険料が戻る",
個人年金,・個人年金は入ったほうが得か,"・メリット：自動引落で強制力があるため貯蓄が苦手な人には有効、保険",
,,"　料控除の対象で節税になる",
,,"・デメリット：途中解約すると元本割れする、固定金利のためインフレに",
,,"　弱い",
新規加入,・年代家族構成別の保険の目安は,"",
損害保険,・自転車保険加入が義務化されたがどれがいいのか,"・「個人賠償責任補償」に加入していれば加入不要",■ダイヤモンドZAi
,,"・保険料の安さ、コンビニで手軽に入れるなどの観点から選ぶ",https://diamond.jp/articles/-/232701
損害保険,・自動車保険加入時のポイントは,"・自動車保険は賠償責任保険（対人賠償・対物賠償）、傷害保険（人身傷",■保険相談ナビ
,,"　害、搭乗者傷害、自損事故、無保険車傷害）、車両保険の３つに分類",https://www.hokennavi.jp/cont/column-sonpo-car-002/
,,"・賠償責任保険は無制限が基本、傷害保険の人身は3,000～5,000万円、搭乗",
,,"は1,000万円程度が多い。自損事故・無保険車は補償金額固定が多い",
,,"・車両保険は使用するとノンフリート等級が3等級ダウンするため使わない",
,,"方が良いケースあり、新車の場合は付加し古い車は付加しないケース多い",
,,"・信頼できる担当者がいる場合は適切なアドバイスや対応が期待できる対",
,,"面型、保険料を抑えて自分で補償内容を決めたい場合は通販型",
損害保険,・火災保険加入時のポイントは,"",
,,"",
損害保険,・個人賠責加入のポイント,"・自動車保険、火災保険、傷害保険等に特約として付加されているか確認",
,,"・同居の親族は補償対象のため重複していないか確認",
損害保険,・海外旅行保険どこまで補償されるか,"",
,,"",
損害保険,・異常気象が続くがどんな保険に入ればいいの,"",
,,"",
介護保険,・介護保険はいくらくらい入ればいいか,"",
,,"",
ペット保険,・ペット保険の種類と選び方は,"",
,,"",
頭金,・頭金はいくらあったほうがいいか,"・平均1,214万円　200万円未満28.9%　1,500万円以上22.8%",■suumo　家とお金の相談
,,"・頭金ゼロでも家は買えるが、住宅価格の5~10％の手付金は必要",https://www.suumocounter.jp/fp/article/home/initial-cost.html
,,"・頭金を貯めるために数年費やし金利が上がれば返済額も増えるため、頭金なし",
,,"　または小額でローンを組み、繰上げ返済を頑張るのも選択肢のひとつ",
頭金,・頭金をどのように貯めたらよいか,"・頭金2割をひとつの目安に、積立定期預金や財形住宅貯蓄を活用",■全銀協
,,"",https://www.zenginkyo.or.jp/article/life/myhome/4375/
頭金,・財形住宅貯蓄を行っているが役立つのか,"・「財形年金貯蓄」と合わせて、貯蓄残高550万円まで利子等に税金がかからず",■勤労者退職金共済機構
,,"　住宅資金を貯められる。55歳未満の勤労者が対象。",http://www.zaikei.taisyokukin.go.jp/service/save/house.php
頭金,・親から資金の贈与を受けたいがどうしたらいいか,"",■国税庁
,,"",https://www.nta.go.jp/taxes/shiraberu/taxanswer/sozoku/4508.htm
購入物件,・家の購入価格は平均いくらか,"・土地付注文住宅は4,100万円台、建売住宅は3,400万円台、マンションは4,400万円台",■生命保険文化センター
,,"",https://www.jili.or.jp/lifeplan/lifeevent/house/3.html
購入物件,・物件以外にどのような諸経費がいくらかかるのか,"",
,,"",
購入物件,・どのくらいの年収なら家を買えるの,"",
賃貸か購入か,・賃貸と持ち家どっちが得か。それぞれのメリットデメリットは。,"・賃貸のメリット：気軽に引っ越せる、住宅設備や建物の修理不要、住宅ローンや",■suumo　家とお金の相談
,,"　固定資産税の負担なし",https://www.suumocounter.jp/fp/article/plan/rental-vs-owned.html
,,"・賃貸のデメリット：ﾌｧﾐﾘｰ向け広さの物件が少ない、家賃を一生払う、リフォー",
,,"　ム不可、年金以外の収入が無くなると借りられない",
,,"・持ち家のメリット：住宅の質が高い、資産になる、住宅ローンを完済すれば",
,,"　負担が減る、リフォームや建て替え可能",
,,"・持ち家のデメリット：引っ越しが気軽にできない、住宅設備や建物の修理費用",
,,"　固定資産税や買う時の費用負担重い",
資金繰り,・〇万円の家を購入したら将来お金は足りるのか。,"",
,,"",
ローン,・ローンは何年ローンで組むのがいいのか,"",
,,"",
ローン,・ローンの仕組みや種類を教えて,"",
,,"",
ローン,・どこの金融機関の金利が低いか,"",
,,"",
ローン,・住宅ローン控除とは,"",
,,"",
ローン,・固定金利と変動金利、どっちを選べばいいか,"",
,,"",
ローン,・フラット35の特徴やメリットはなにか,"",■suumo　家とお金の相談
,,"",https://www.suumocounter.jp/fp/article/loan/housing-loan-flat35.html
借換え,・住宅ローンの借り換えたいが注意点は,"",
繰上げ返済,・繰り上げ返済の効果や注意点は,"",
繰上げ返済,・繰上げ返済したほうがいいか、ローン控除を使い切ったほうがいいか,"",
キャッシュレス,・キャッシュレスサービスがいろいろあるがどれが得か,"　",
コロナ関連,・コロナ関連の助成金などは何があるか,"",■都道府県別 新型コロナウイルスに関する補助金・助成金一覧
,,"",https://hojyokin-portal.jp/columns/subsidy_prefecture
,,"",■自走手当
,,"",https://www.chunichi.co.jp/article/front/list/CK2020040602000060.html
コロナ関連,・多重債務・自己破産を陥らないためにどうしたらいいか,"・状況を聞取りし、「任意整理」「調停による整理」「個人再生手続き」",■金融広報中央委員会
,,"「自己破産」等の方法があることを伝える",https://www.shiruporuto.jp/public/document/container/rich/text/pdf/rich09.pdf
,,"・相談窓口として「弁護士会」「日本司法支援センター」等を案内",https://www.shiruporuto.jp/public/document/container/link/tajusaimu/
コロナ関連,・生活が困窮したので生命保険を解約したほうがいいのか（契約者貸付）,"・解約前に契約している生命保険の解約返戻金の一定範囲内で",■生命保険文化センター
,,"　貸し付けを受けられる契約者貸付を検討。",https://www.jili.or.jp/knows_learns/basic/continuance/lending.html
コロナ関連,・失業手当はいくら受け取れるか,"・1か月の平均給与額（額面）、年齢、雇用保険加入年数、自己都合",■失業保険試算（2020年）
,,"　か会社都合かを聞取りし、計算ツールで概算額を出す",https://www.knoki.net/keisan/
,,"",■ハローワーク
,,"",https://www.mhlw.go.jp/kyujin/hwmap.html
結婚・出産・育児,・出産でもらえるお金はいくらか,"・出産費用は平均で40～50万円",■協会けんぽ
,,"・出産育児一時金で42万円もらえる",https://www.kyoukaikenpo.or.jp/g3/cat320/sb3170/sbb31712/1948-273/
結婚・出産・育児,・児童手当はいくら受け取れるか,"・3歳未満：一律15,000円　3歳以上～小学校修了前：10,000円（第3子以降は",■児童手当（内閣府）
,,"　15,000円）　中学生：一律10,000円　　※中学校卒業まで支給",https://www8.cao.go.jp/shoushi/jidouteate/annai.html
結婚・出産・育児,・結婚や出産にかかるお金はいくらか,"・結納～婚約、新婚旅行まで平均466.6万円",■三菱UFJ銀行（ゼクシィデータ）
,,"・出産費用は平均で40～50万円",https://www.tr.mufg.jp/life-shisan/method/kekkon.html
結婚・出産・育児,・結婚の費用を抑えるには？,"",
,,"",
結婚・出産・育児,・結婚・子育てで援助を受けたい（結婚・子育て資金贈与）,"・祖父母・父母等から、20歳以上50歳未満の子や孫等へ結婚・子育て資金を贈与",No.4511 直系尊属から結婚・子育て資金の一括贈与を受けた場合の非課税
,,"した場合、受贈者１人あたり、1,000万円までの贈与税が非課税となる",
,,"（結婚関係は300万円まで）",https://www.nta.go.jp/taxes/shiraberu/taxanswer/zoyo/4511.htm
教育費,・教育費はいくらかかるか。足りない場合は（国の教育ローン・奨学金）,"・幼稚園から大学まですべて国公立：約1,080万円",■CFP記事（加藤CFP）
,,"・幼稚園から大学まですべて私立：約2,600万円",https://lify.jp/insurance/life/child/article-2715/
,,"・私立に入れたい場合は中学からなのか大学だけなのか考えを聞く",■国の教育ローン
,,"・国の教育ローン（上限350万円、固定金利、最長15年）や奨学金も上手に活用",https://www.jfc.go.jp/n/finance/search/ippan.html
,,"",■学生支援機構
,,"",https://www.jasso.go.jp/shogakukin/
教育費,・親からの資金援助を期待（暦年贈与と相続時精算課税制度）,"・相続時精算課税制度を一度選択するとその後暦年課税に変更することはできない",■No.4103 相続時精算課税の選択（国税庁）
,,"　贈与財産の種類、金額、回数に制限なし",https://www.nta.go.jp/taxes/shiraberu/taxanswer/sozoku/4103.htm
,,"・暦年課税：年間基礎控除110万円",No.4408 贈与税の計算と税率（暦年課税）
,,"",https://www.nta.go.jp/taxes/shiraberu/taxanswer/zoyo/4408.htm
教育費,・教育資金を援助してもらうと税金がかかるか（教育資金贈与）,"・祖父母等から30歳未満の孫や子への教育資金の贈与について、子や孫1人につき",No.4510 直系尊属から教育資金の一括贈与を受けた場合の非課税
,,"　1,500万円を限度として贈与税が非課税になる教育資金贈与の非課税特例",https://www.nta.go.jp/taxes/shiraberu/taxanswer/zoyo/4510.htm
教育費,・奨学金はどのようなものがあるか,"・日本学生支援機構の奨学金第一種：無利子、成績3.5以上、月5～6万円（審査",■ベスト進学ネット
,,"　通過難しい）第二種：最大3%までの利子、3,5,8,10,12万円",
,,"・その他、地方自治体や民間企業の奨学金もあり",https://www.best-shingaku.net/s-matome/gakuhi/c000077.php
公的年金,・遺族年金ってどれくらいもらえるか,"・夫が会社員、標準報酬月額35万円、18歳未満の子ども2人の場合：月額約14.9万円",■遺族年金（日本年金機構）
,,"・夫が自営業者、子ども無しまたは全員18歳以上の場合：64歳まで支給無し、65歳",https://www.nenkin.go.jp/service/jukyu/izokunenkin/jukyu-yoken/20150401-03.html
,,"　以上月額約6.5万円",■遺族年金一覧（オリックス生命）
,,"・配偶者が会社員か自営業者か、18歳未満の子どもがいるかいないかで大きな差",https://www.orixlife.co.jp/guide/navi/survivors_pension.html
公的年金,・将来年金がどのくらいもらえるか知りたい（ねんきんネット・定期便）,"",■ねんきんネット
,,"",https://www.nenkin.go.jp/n_net/
資金運用,・金利がいい銀行はどこか,"・期間・金額の目安を聞き取りし回答する",■定期預金比較（価格.com）
,,"",https://kakaku.com/teiki/
資金運用,・証券口座を開設したいがおすすめ証券会社は,"・比較ポイントは手数料の安さ。その他取引ツールや情報配信サービス充実度など",■みん株
,,"・1位：SBI証券　2位：楽天証券　3位：松井証券",https://minkabu.jp/hikaku/
資金運用,・副業で得たお金のは確定申告が必要か,"・副業の所得が20万円以下なら不要",■副業で確定申告をしないといけないのはいくらから？
,,"",https://www.freee.co.jp/kb/kb-fukugyou/required-income-final-return/
資金運用,・退職金の職業別平均額は,"・勤続年数、企業規模、最終学歴など聞き取った情報により回答",■相場（勤続年数/理由）
,,"",https://ten-navi.com/hacks/retire-19-8033
,,"",■相場（職種/地域）
,,"",https://dime.jp/genre/839120/
資金運用,・銀行が破綻した場合お金はどうなるか,"・ペイオフの対象は一般預金は1,000万円とその利息まで。決済性預金は全額保護。",■預金保険機構
,,"　外貨預金等は保護対象外。",https://www.dic.go.jp/yokinsha/page_000134.html
資金運用,・老後資金の準備方法は,"・最低60歳までは引き出せないが掛金全額が所得控除できるiDeCoと、保険料の",■iDeCo公式サイト
,,"一部が所得控除の対象である個人年金保険の組み合わせを提案",https://www.ideco-koushiki.jp/guide/
,,"",■生命保険文化センター　個人年金保険
,,"",https://www.jili.or.jp/knows_learns/basic/kind_main/individual.html
資金運用,・お金の運用が全く分からない。何から始めたらいいか,"・「長期・分散・少額」が特徴の資産形成に適したつみたてNISAの概要を説明",■金融庁　つみたてNISA早わかりガイドブック
,,"",https://www.fsa.go.jp/policy/nisa2/about/tsumitate/guide/index.html
資金運用,・iDeCoやつみたてNISAはどんな制度か,"・どちらも資産形成に適した制度だが、iDeCoは老後資金の準備に、つみたてNISA",■iDeCoナビ
,,"　は中期的に使う資金（住宅頭金、教育資金）の準備に活用できる",https://www.dcnenkin.jp/about/
,,"・iDeCo：掛金が全額所得控除の対象、投資信託等で運用、最低60歳まで引出せない",■金融庁　つみたてNISA早わかりガイドブック
,,"・つみたてNISA：解約可能、投資信託で運用、年間40万円まで、運用益非課税",https://www.fsa.go.jp/policy/nisa2/about/tsumitate/guide/index.html
資金運用,・有事の金といわれるようだが買ったほうがいいのか,"・インフレに強いなどのメリットと、配当や利子を生まないなどのデメリット勘案",■たあんと
,,"・現物保有のほか、金関連ファンドへの投資により間接的に保有する方法あり",https://www.tantonet.jp/archives/458
資金運用,・リートっていい商品か。,"・メリット：小額から不動産投資ができる、専門家が運用、換金性が高い、収益が",■一社）投資信託協会
,,"　ほとんど分配される仕組み",https://www.toushin.or.jp/reit/about/what/
,,"・リスク：不動産市場のリスク、金利変動リスクなど",
資金運用,・ビットコインってどんな商品か。やったほうがいいのか。,"",
,,"",
資金運用,・投資信託でアクティブとパッシブとではどちらがいいか,"・大きなリターンを期待したいならアクティブ型（ただし運用実績",■クラブ・フィデリティ
,,"　のいいものに限る）手間やコストを抑えたいならパッシブ型　",https://clubfidelity.fidelity.co.jp/Pages/2018-12-28-clubfidelity-articles-learn-22--1545974412853
資金運用,・ターゲットイヤーファンドが楽な感じだがどうか,"・老後資金の資産運用は使う時期（退職・年金受給開始）に向けてリスクを",■モーニングスター
,,"　下げた運用に変更することが大切だが、本ファンドを活用することで",https://www.morningstar.co.jp/fund/analyst/2017/2q/MFA120170406.html
,,"　自ら資産配分を変更する手間を省ける",
資金運用,・iDeCoを始めるならどこがいいか,"・手数料、商品数、サポートで比較",■iDecoナビ
,,"　おすすめされているネット証券：SBI証券、楽天証券、マネックス証券　",https://www.dcnenkin.jp/search/
資金運用,・ふるさと納税は節税になるのか,"・ふるさと納税は自治体への寄附であり、自己負担額の2,000円を",■総務省ふるさと納税ポータルサイト
,,"　除いた全額が所得税及び住民税から控除される＋返礼品がもらえる",https://www.soumu.go.jp/main_sosiki/jichi_zeisei/czaisei/czaisei_seido/furusato/about/
相続・贈与,・お金を借りたことにすれば贈与税はかからないのか,"・借りる人、貸した人の関係（親子など）や、返済状況などから見て金銭の貸借",■国税庁
,,"　と認められれば贈与にはならず贈与税はかからないがそれ以外は贈与となる",https://www.nta.go.jp/m/taxanswer/4420.htm
相続・贈与,・相続税対策をしたいがどんな方法があるか,"・生命保険の非課税額の活用、生前贈与による相続資産の軽減等",
,,"",
相続・贈与,・電子マネーや仮想通貨も相続税の対象か,"・電子マネー、仮想通貨はともに相続税の対象。",■相続できる電子マネー一覧
,,"・特に仮想通貨は、取引所やID、パスワードなどの情報がないと相続手続",https://www.nta.go.jp/publication/pamph/pdf/virtual_currency_faq.pdf
,,"　が困難。取引概略を相続人に伝えておくことが必要",■国税庁　仮想通貨に関する税務上の取扱いについてP38
,,"",https://www.nta.go.jp/publication/pamph/pdf/virtual_currency_faq.pdf
相続・贈与,・相続税は資産どれくらいあるとかかるのか,"・基礎控除（3,000万円 ＋ 600万円 × 法定相続人の数）を超えた部分にかかる",■国税庁　相続税の計算
,,"",https://www.nta.go.jp/taxes/shiraberu/taxanswer/sozoku/4152.htm
相続・贈与,・空き家があるがどうしたらいいか,"・活用方法としては①修繕し貸す②シェアハウス・民泊③解体し土地",■空き家対策　各自治体の補助金検索
,,"　活用④売却など",http://akiya-takumi.com/subsidy/
,,"・各自治体が取組んでいる空き家バンクの登録や補助金の活用など紹介",■まちづくり参加型クラウドファンディング（ハロー！RENOVATION)
,,"・空き家活用のクラウドファンディングなど民間企業の取組紹介",https://hello-renovation.jp/
相続・贈与,・相続で遺留分とは何か,"・民法によって兄弟姉妹（甥・姪）以外の法定相続に保障された相続財産の",■SMBC日興証券用語集
,,"　最低限度の割合",https://www.smbcnikko.co.jp/terms/japan/i/J0211.html
相続・贈与,・借金がある場合は相続放棄をしたほうがいいのか,"・相続放棄は相続開始から３か月以内に申告、早めに弁護士に相談",
,,"・被相続人の財産より借金が多いときに選択肢となる",
相続・贈与,・法定相続人以外に相続させることはできるか,"・遺言による「遺贈」を行うことで可能。相続税の基礎控除を超えた部分に",■遺産相続弁護士相談広場
,,"　相続税がかかる。遺留分侵害などのトラブルに注意",https://www.souzokuhiroba.com/souzokunin/inheritance-of-a-bequest.html
相続・贈与,・相続でもめないために遺言書を書いてもらいたいと考えている。種類や書き方は,"・種類：自筆証書遺言、公正証書遺言、秘密証書遺言",■国民相続生活センター
,,"・相談窓口は司法書士、弁護士、税理士、行政書士など",https://souzoku-life.net/
,,"・何度でも無料相談できる国民相続生活センター等案内",■日本公証人連合会
,,"",http://www.koshonin.gr.jp/
相続・贈与,・親の相続が心配、今からできることは？,"・親（被相続人）の対策に対する意思が強くない場合は子から親への話の",■相続ハウス
,,"　進め方に配慮が必要",http://souzokuhouse.com/soudan-naiyou/tetsuduki/kiso-tetsuduki/hisouzokunin/
,,"・財産のリスト化、生まれてから現在までの戸籍収集、遺言書の作成、",
,,"　生命保険の加入など",
介護,・介護にはお金がいくらかかるか,"・一時的な費用の合計　平均69万円",■生命保険文化センター
,,"・月額平均7.8万円　✖　介護期間平均4年7か月　＝　429万円",https://www.jili.or.jp/lifeplan/lifesecurity/nursing/4.html
介護,・親の介護はどんな準備が必要か,"・親の健康状態や経済状態の把握後、介護状態になった場合の希望を",■ベネッセスタイルケア
,,"　確認する。地域包括支援センターへは介護前から相談可能。",https://kaigo.benesse-style-care.co.jp/prevention/
介護,・親が将来認知症になるのが心配（後見人制度とは）。,"・法定後見制度：既に判断能力が不十分な場合、申立により家庭裁判所に",■法務省　成年後見制度
,,"　よって選任された後見人等が本人に代わって財産や権利を守り、本人を",http://www.moj.go.jp/content/001287467.pdf
,,"　法的に支援する制度",
,,"・任意後見制度：本人の判断能力があるうちに、将来自らの判断能力が低",
,,"　下した場合に備え、任意後見人を選び公正証書で任意後見契約を結ぶ",
,,"・家庭裁判所、市区町村の高齢者福祉課等、社会福祉協議会等に相談",
社会保障制度,・自営業だが傷病手当金は受けられるか,"・自営業者が加入する国民健康保険には傷病手当金はない",■国民健康保険組合
,,"・一部の国民健康保険組合は傷病手当金が出る",http://www.kokuhokyo.or.jp/page8-01.html
,,"・商工会議所会員の場合は休業補償プランに加入、非会員は就業不能保険",■日本商工会議所休業補償プラン
,,"　等の加入を検討",https://hoken.jcci.or.jp/leave-compensation
